scenario_key,scenario_label,structure_key,structure_label,amm_enabled,n_seeds,n_trades,avg_clob_spread_bps,avg_clob_depth,avg_systemic_liquidity,avg_realized_volatility,tail_realized_volatility,avg_cost_clob_q5,avg_flow_share_amm_total,price_recovery_steps,spread_recovery_steps,depth_recovery_steps,liquidity_composite_recovery_steps,liquidity_composite_recovered,post_shock_avg_clob_spread_bps,post_shock_avg_clob_depth,post_shock_avg_systemic_liquidity,post_shock_avg_realized_volatility,post_shock_mm_share_withdrawn,post_shock_mm_withdrawal_score,avg_mm_share_withdrawn,avg_mm_withdrawal_score
default,Default,with_amm,With AMM,1,300,8927.55,3.604143084602655,597.4389505308314,0.9670677843236893,0.0011595808703016904,0.001081884685489922,2.01887808489031,0.2233883748561466,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0,0.5701929991070468
default,Default,without_amm,Without AMM,0,300,8989.576666666666,3.7711276932722324,620.8023818284618,0.9670778186630182,0.0010755602941710082,0.001025696025414597,2.0538552152053313,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0,0.5178522068636298
mm_withdrawal,MM Withdrawal,with_amm,With AMM,1,300,9139.18,3.4142382918636707,595.5704873560727,0.9604626387609617,0.0010019842660314213,0.00091625163648498,1.8959570549189921,0.20062996737504166,163.99056603773585,218.9375,11.173333333333334,218.9375,0.05333333333333334,3.561931246239155,557.8958016958951,0.9562662794509659,0.0009694001767710412,0.006139393939393944,0.6495091401254239,0.0037518518518518513,0.6030517611471052
mm_withdrawal,MM Withdrawal,without_amm,Without AMM,0,300,9015.873333333333,3.861505711708134,615.5605594228866,0.9605348404350377,0.001090705183286106,0.0010183040627705932,2.1029745256242256,0.0,150.79807692307693,274.40909090909093,11.486666666666666,274.40909090909093,0.07333333333333333,4.0661690138942035,571.5135680886395,0.9563725680336298,0.0010656502718544164,0.005548484848484849,0.6152954470702303,0.003390740740740741,0.558992498032011
flash_crash,Flash Crash,with_amm,With AMM,1,300,9120.503333333334,3.3267213735001033,630.9846625879288,0.9581211167402015,0.0010890354710704922,0.0009434201541773803,1.8542676277008907,0.20176136174464793,121.54320987654322,266.6666666666667,16.34,266.6666666666667,0.02,3.5099757678371772,587.9718495748848,0.9524372179174194,0.0010853753478739714,0.010566666666666674,0.6361430512623644,0.006457407407407405,0.5859937461792746
flash_crash,Flash Crash,without_amm,Without AMM,0,300,9036.09,3.8313272154224243,617.883413616971,0.9583364674448785,0.001144429446256342,0.0010350677320062369,2.0867427207954847,0.0,116.72413793103448,273.53846153846155,16.13377926421405,273.53846153846155,0.043333333333333335,4.018921124369593,575.7444741834576,0.9527794978886861,0.0011525626517915374,0.009566666666666676,0.6061318143150805,0.0058462962962962895,0.5504529488734458
dealer_liquidity_crisis,Dealer Liquidity Crisis,with_amm,With AMM,1,300,9138.136666666667,3.4738668348281747,589.4974080222416,0.9433133899506533,0.0010269076674013337,0.0009009236390590007,1.9279637546379471,0.19600709783933942,49.40468227424749,306.0,31.536666666666665,306.0,0.06,3.7005902325590894,547.5312583579906,0.9282009945227175,0.0010271992820164678,0.03513939393939392,0.702694027525062,0.02147407407407406,0.6297234761941118
dealer_liquidity_crisis,Dealer Liquidity Crisis,without_amm,Without AMM,0,300,9006.99,3.991611426441479,606.7618091540551,0.9433485277336146,0.0011764271127123038,0.0010190106968001969,2.1740918138693037,0.0,65.21160409556315,275.1904761904762,33.1505016722408,275.1904761904762,0.07,4.281204378764407,557.5454850623232,0.9282537783611651,0.0012049224696285645,0.036339393939393956,0.6761476658822367,0.022207407407407415,0.5932404137200408
funding_liquidity_shock,Funding Liquidity Shock,with_amm,With AMM,1,300,9217.123333333333,3.5530261659581153,589.9677476235557,0.9490281546678148,0.0010332658092369886,0.0009166229263875024,1.9705683601047808,0.19858164056855707,106.52611940298507,359.0833333333333,30.173333333333332,359.0833333333333,0.04,3.8008877851235496,549.7689432097462,0.9375647431203132,0.0010315694675344465,0.0403363636363636,0.717047504649581,0.02465000000000003,0.6385979297998366
funding_liquidity_shock,Funding Liquidity Shock,without_amm,Without AMM,0,300,9078.313333333334,4.0391193553771405,606.1006185684327,0.9493598978650023,0.0011584578022247446,0.0010166519770975339,2.1976995508915724,0.0,105.52,304.7647058823529,30.632107023411372,304.7647058823529,0.056666666666666664,4.358944626113675,556.4635368313036,0.9380905658488903,0.001175518143376197,0.04071818181818181,0.6906976409752518,0.024883333333333327,0.6021320651657721
high_vol_stress,High-Vol Stress,with_amm,With AMM,1,300,9544.816666666668,6.449930242731743,483.57629082541376,0.824709172879621,0.0026687455394791668,0.0010889483399222752,3.681325773311529,0.2259720196014789,218.82474226804123,380.0,216.64214046822744,380.0,0.02666666666666667,8.071910458322902,376.60159283156827,0.7545189369526666,0.0033808050522679913,0.4704111111111113,1.8181423230258804,0.31361296296296304,1.3810411297752905
high_vol_stress,High-Vol Stress,without_amm,Without AMM,0,300,9566.41,6.688116505190838,473.25734166077194,0.8265139302266459,0.0033908296659064534,0.000999952081326397,3.717933223531982,0.0,196.24242424242425,360.77777777777777,217.51170568561872,362.0,0.03,8.262853764218896,363.7731875330705,0.7572272870225593,0.004514273689642625,0.5049000000000003,1.8371918365574367,0.3366055555555554,1.3768700495472252
